EventName,Data,Location,Price
Python Hacks for Digital Marketing,"Mon, Aug 19, 6:00pm","Station Houston, Houston, TX",Free
Intro to Python: Workshop | Houston,"Mon, Sep 9, 6:00pm","WeWork The Jones Building, Houston, TX",Free
Intro to Python: Fundamentals,"Wed, Sep 11, 6:30pm","TechSpace Houston Coworking Space, Houston, TX",Free
Learn to Code: Introduction to Python,"Tue, Aug 27, 6:30pm","Professional Career Training Institute, Houston, TX",Free
Thinkful Webinar | Intro to Python: Fundamentals,"Wed, Aug 14, 7:00pm","Thinkful Webinar, Houston, TX",Free
Thinkful Webinar | Intro to Python: Fundamentals,"Wed, Aug 28, 7:00pm","Thinkful Webinar, Houston, TX",Free
Free Intro to Python Bootcamp (2 Days),"Mon, Dec 9, 10:00am","Lone Star College, The Woodlands, TX",Starts at $99.00
Free Intro to Python Bootcamp (2 Days),"Mon, Oct 7, 10:00am","Lone Star College, The Woodlands, TX",Starts at $99.00
2019 Data Science Boot Camp,"Mon, Aug 12, 8:00am","Rice University, Houston, TX","Starts at $3,750.00"
Free Intro to Machine Learning Class,"Fri, Dec 13, 10:00am","Lone Star College, The Woodlands, TX",Starts at $399.00
Free Intro to Machine Learning Class,"Fri, Oct 11, 10:00am","Lone Star College, The Woodlands, TX",Starts at $99.00
Intro to Machine Learning Bootcamp (5 Days),"Mon, Dec 16, 9:00am","Lone Star College, The Woodlands, TX","Starts at $2,999.00"
Intro to Machine Learning Bootcamp (2 Days),"Sat, Oct 12, 9:00am","Lone Star College, The Woodlands, TX",Starts at $299.00
Free Intro to Data Science Bootcamp (2 Days),"Wed, Oct 9, 10:00am","Lone Star College, The Woodlands, TX",Starts at $99.00
Free Intro to Data Science Bootcamp (2 Days),"Wed, Dec 11, 10:00am","Lone Star College, The Woodlands, TX",Starts at $99.00
Beers With Byte Academy Coding School: Networking & Info Session,"Thu, Aug 15, 5:30pm","Byte Academy - Coding Bootcamp Houston, Houston, TX",Free
Learn to Code: Introduction to Data Science,"Tue, Aug 20, 6:00pm","PCTI Tech, Houston, TX",Free
Thinkful Webinar | Intro to Data Science: Predictive Modeling,"Thu, Aug 22, 7:00pm","Thinkful Webinar, Houston, TX",Free
Intro to Data Science: Predictive Modeling,"Wed, Aug 14, 6:30pm","TechSpace Houston Coworking Space, Houston, TX",Free
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,"Tue, Aug 13, 11:30am","Thinkful Webinar, Houston, TX",Free
Intro to Data Science: Predictive Modeling,"Wed, Sep 25, 6:30pm","TechSpace Houston Coworking Space, Houston, TX",Free
IoT Training in Houston | internet of things training | Introduction to IoT...,"Wed, Aug 7, 9:00pm","TruVs, Houston, TX",Starts at $550.00
IoT Training in Sugar Land | internet of things training | Introduction to ...,"Wed, Aug 7, 9:00pm","TruVs, Sugar Land, TX",Starts at $550.00
IoT Training in Katy | internet of things training | Introduction to IoT tr...,"Wed, Aug 7, 9:00pm","TruVs, Katy, TX",Starts at $550.00
IoT Training in The Woodlands | internet of things training | Introduction ...,"Wed, Aug 7, 9:00pm","TruVs, The Woodlands, TX",Starts at $550.00
Intro to Data Science: The Art of Visualizations,"Wed, Aug 28, 6:30pm","TechSpace Houston Coworking Space, Houston, TX",Free
IoT Training in League City | internet of things training | Introduction to...,"Wed, Aug 7, 9:00pm","TruVs, League City, TX",Starts at $550.00
IoT Training in Baytown | internet of things training | Introduction to IoT...,"Wed, Aug 7, 9:00pm","TruVs, Baytown, TX",Starts at $550.00
"10 Hours Blockchain Training in Houston, TX for Beginners-Bitcoin training-...","Sat, Sep 7, 11:00am","Entirety Technologies, Houston, TX",Starts at $350.00
"10 Hours Blockchain Training in Sugar Land, TX for Beginners-Bitcoin traini...","Sat, Sep 7, 11:00am","Entirety Technologies, Sugar Land, TX",Starts at $350.00
"10 Hours Blockchain Training in Katy, TX for Beginners-Bitcoin training-int...","Sat, Sep 7, 11:00am","Entirety Technologies, Katy, TX",Starts at $350.00
"10 Hours Blockchain Training in The Woodlands, TX for Beginners-Bitcoin tra...","Sat, Sep 7, 11:00am","Entirety Technologies, The Woodlands, TX",Starts at $350.00
"10 Hours Blockchain Training in League City, TX for Beginners-Bitcoin train...","Sat, Sep 7, 11:00am","Entirety Technologies, League City, TX",Starts at $350.00
"10 Hours Blockchain Training in Baytown, TX for Beginners-Bitcoin training-...","Sat, Sep 7, 11:00am","Entirety Technologies, Baytown, TX",Starts at $350.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Houston, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Sugar Land, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Katy, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Baytown, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, The Woodlands, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, League City, TX",Starts at $550.00
IoT Training in Bryan | internet of things training | Introduction to IoT t...,"Wed, Aug 7, 9:00pm","TruVs, Bryan, TX",Starts at $550.00
Texas A&M Data Science Bootcamp,"Mon, Aug 19, 8:30am","Interdisciplinary Life Sciences Building, College Station, TX",Starts at $20.00
"10 Hours Blockchain Training in Bryan, TX for Beginners-Bitcoin training-in...","Sat, Sep 7, 11:00am","Entirety Technologies, Bryan, TX",Starts at $350.00
IoT Training in Beaumont | internet of things training | Introduction to Io...,"Wed, Aug 7, 9:00pm","TruVs, Beaumont, TX",Starts at $550.00
"10 Hours Blockchain Training in Beaumont, TX for Beginners-Bitcoin training...","Sat, Sep 7, 11:00am","Entirety Technologies, Beaumont, TX",Starts at $350.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Bryan, TX",Starts at $550.00
4 to 8 weeks Practical Hands-On Big Data Hadoop Developer Certification tra...,"Tue, Sep 3, 8:30pm","Entirety Technology, Beaumont, TX",Starts at $550.00
